Subfamily	Tribe	Subtribe	Genus	Species
Limenitidinae	Adoliadini		Abrota	Abrota_ganga
Heliconiinae	Acraeini		Acraea	Acraea_abdera
Heliconiinae	Acraeini		Acraea	Acraea_acara
Heliconiinae	Acraeini		Acraea	Acraea_acrita
Heliconiinae	Acraeini		Acraea	Acraea_admatha
Heliconiinae	Acraeini		Acraea	Acraea_aglaonica
Heliconiinae	Acraeini		Acraea	Acraea_andromacha
Heliconiinae	Acraeini		Acraea	Acraea_anemosa
Heliconiinae	Acraeini		Acraea	Acraea_annonae
Heliconiinae	Acraeini		Acraea	Acraea_asboloplintha
Heliconiinae	Acraeini		Acraea	Acraea_asema
Heliconiinae	Acraeini		Acraea	Acraea_atatis
Heliconiinae	Acraeini		Acraea	Acraea_atergatis
Heliconiinae	Acraeini		Acraea	Acraea_atolmis
Heliconiinae	Acraeini		Acraea	Acraea_axina
Heliconiinae	Acraeini		Acraea	Acraea_bailundensis
Heliconiinae	Acraeini		Acraea	Acraea_barberi
Heliconiinae	Acraeini		Acraea	Acraea_bellona
Heliconiinae	Acraeini		Acraea	Acraea_bergeriana
Heliconiinae	Acraeini		Acraea	Acraea_boopis
Heliconiinae	Acraeini		Acraea	Acraea_braesia
Heliconiinae	Acraeini		Acraea	Acraea_brainei
Heliconiinae	Acraeini		Acraea	Acraea_buettneri
Heliconiinae	Acraeini		Acraea	Acraea_caecilia
Heliconiinae	Acraeini		Acraea	Acraea_caldarena
Heliconiinae	Acraeini		Acraea	Acraea_camaena
Heliconiinae	Acraeini		Acraea	Acraea_cephus
Heliconiinae	Acraeini		Acraea	Acraea_chaeribula
Heliconiinae	Acraeini		Acraea	Acraea_chambezi
Heliconiinae	Acraeini		Acraea	Acraea_chilo
Heliconiinae	Acraeini		Acraea	Acraea_cuva
Heliconiinae	Acraeini		Acraea	Acraea_dammii
Heliconiinae	Acraeini		Acraea	Acraea_diogenes
Heliconiinae	Acraeini		Acraea	Acraea_dondoesis
Heliconiinae	Acraeini		Acraea	Acraea_doubledayi
Heliconiinae	Acraeini		Acraea	Acraea_egina
Heliconiinae	Acraeini		Acraea	Acraea_ella
Heliconiinae	Acraeini		Acraea	Acraea_eltinghamiana
Heliconiinae	Acraeini		Acraea	Acraea_eltringhami
Heliconiinae	Acraeini		Acraea	Acraea_endoscota
Heliconiinae	Acraeini		Acraea	Acraea_equatorialis
Heliconiinae	Acraeini		Acraea	Acraea_eugenia
Heliconiinae	Acraeini		Acraea	Acraea_guillemei
Heliconiinae	Acraeini		Acraea	Acraea_guluensis
Heliconiinae	Acraeini		Acraea	Acraea_hamata
Heliconiinae	Acraeini		Acraea	Acraea_horta
Heliconiinae	Acraeini		Acraea	Acraea_hova
Heliconiinae	Acraeini		Acraea	Acraea_hypoleuca
Heliconiinae	Acraeini		Acraea	Acraea_igati
Heliconiinae	Acraeini		Acraea	Acraea_insignis
Heliconiinae	Acraeini		Acraea	Acraea_intermediodes
Heliconiinae	Acraeini		Acraea	Acraea_kappa
Heliconiinae	Acraeini		Acraea	Acraea_kia
Heliconiinae	Acraeini		Acraea	Acraea_kinduana
Heliconiinae	Acraeini		Acraea	Acraea_lapidorum
Heliconiinae	Acraeini		Acraea	Acraea_leucographa
Heliconiinae	Acraeini		Acraea	Acraea_leucopyga
Heliconiinae	Acraeini		Acraea	Acraea_lofua
Heliconiinae	Acraeini		Acraea	Acraea_loranae
Heliconiinae	Acraeini		Acraea	Acraea_lualabae
Heliconiinae	Acraeini		Acraea	Acraea_lyci
Heliconiinae	Acraeini		Acraea	Acraea_lygus
